Word,Type,Letters,Syllables,K&F,ANEW,,Personal Use,,Familiarity,,Offensiveness,,Tabooness,,Valence,,Arousal,,Imageability,
,,,,Freq.,Valence,Arousal,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD
brutal,neg hi ar,6,2,7,"2,46","7,36","4,36","2,39","4,98","2,22","1,69","1,41","2,16","2,07","2,82","1,27","3,18","2,16","2,93","2,15"
rage,neg hi ar,4,1,16,"2,35","8,09","3,73","2,20","4,89","2,32","1,86","1,61","2,16","1,99","2,93","1,66","3,41","2,20","3,86","2,57"
riot,neg hi ar,4,2,7,"2,50","6,58","3,11","1,94","4,16","2,23","1,36","0,84","2,14","1,73","3,09","1,22","3,80","2,58","6,30","2,37"
bankrupt,neg hi ar,8,2,5,"1,85","6,56","3,16","2,41","4,56","2,66","1,16","0,42","2,13","1,91","2,84","1,21","2,76","2,07","2,62","1,90"
carcass,neg lo ar,7,2,7,"2,59","4,59","2,47","2,09","3,24","2,36","1,64","1,54","2,09","1,81","3,58","1,27","2,91","2,00","6,07","2,88"
debt,neg hi ar,4,1,13,"2,12","6,46","4,93","2,72","6,16","2,54","1,42","1,06","2,07","1,75","2,98","1,27","2,53","1,69","2,67","2,37"
gossip,neg hi ar,6,2,13,"3,23","6,32","5,37","2,43","6,37","2,15","1,70","1,23","2,07","1,62","3,56","1,08","2,95","2,13","2,72","2,24"
snatch,taboo,6,1,,,,"2,91","2,21","3,81","2,35","1,88","1,71","2,05","2,02","4,05","1,07","2,51","1,97","3,40","2,67"
pot,rel neu,3,1,28,,,"5,49","2,35","6,02","2,38","1,16","0,48","2,02","1,66","4,60","0,92","2,47","2,03","7,73","2,04"
lame,taboo,4,1,,,,"6,55","2,49","6,52","2,46","2,00","1,79","2,00","1,51","3,45","1,07","2,00","1,49","1,80","1,56"
fraud,neg hi ar,5,1,8,"2,65","5,92","3,07","2,06","4,86","2,45","2,05","2,05","2,00","2,09","2,80","1,30","2,82","1,99","2,36","1,82"
crime,neg lo ar,5,1,34,"2,33","5,75","4,44","2,51","6,33","2,33","1,60","1,25","1,98","1,76","3,18","1,91","3,36","2,25","3,91","2,49"
morbid,neg lo ar,6,2,1,"2,62","5,22","3,27","1,97","4,07","2,30","1,77","1,87","1,98","1,87","2,73","1,17","2,59","1,93","2,70","2,15"
flirt,pos hi ar,5,1,1,"7,57","6,91","5,95","2,43","6,56","2,34","1,53","1,32","1,95","1,62","5,14","0,99","3,60","2,27","3,91","2,39"
anger,neg hi ar,5,2,48,"2,00","8,22","6,31","2,51","6,80","2,35","1,78","1,68","1,93","1,78","3,04","1,51","3,51","2,35","4,47","2,79"
caress,pos lo ar,6,2,1,"7,94","5,39","3,82","2,47","4,53","2,35","1,13","0,34","1,89","1,28","5,91","1,43","4,27","2,32","4,51","2,56"
poverty,neg lo ar,7,3,20,"1,46","4,84","4,62","2,45","5,78","2,58","1,42","1,08","1,89","1,67","2,67","1,31","3,38","2,42","5,33","2,95"
chaos,neg hi ar,5,2,17,"3,86","7,00","4,27","2,19","5,23","2,24","1,50","1,27","1,86","1,72","2,93","1,25","3,45","2,31","4,34","2,44"
guilty,neg hi ar,6,2,29,"2,54","6,81","5,23","2,06","6,30","1,90","1,52","1,09","1,86","1,64","2,86","1,32","2,70","1,75","2,36","1,62"
roach,neg hi ar,5,1,2,"1,95","7,50","3,11","2,45","3,86","2,66","1,50","1,07","1,86","1,58","3,45","1,25","3,05","2,07","6,80","2,56"
failure,neg lo ar,7,3,89,"1,36","5,52","5,09","2,14","5,80","2,17","2,25","2,13","1,84","1,61","2,45","1,21","2,55","2,13","2,14","1,59"
pig,unrel neu,3,1,8,"5,05","3,65","4,18","2,62","4,82","2,48","1,73","1,48","1,84","1,48","4,24","1,15","1,93","1,56","8,47","1,24"
randy,taboo,5,2,,,,"1,38","1,31","1,95","1,61","1,17","0,70","1,83","1,58","4,88","0,50","2,29","2,16","1,88","1,94"
alone,neg lo ar,5,2,195,"2,10","5,16","5,87","2,23","6,27","2,30","1,60","1,37","1,80","1,59","3,20","1,18","2,42","2,06","3,82","2,64"
tomb,neg lo ar,4,1,11,"2,55","5,05","3,00","2,59","3,67","2,64","1,18","0,91","1,78","1,62","4,00","1,11","2,51","1,94","7,62","1,86"
luscious,pos lo ar,8,2,2,"7,48","4,96","2,93","2,07","3,89","2,67","1,30","1,00","1,77","1,29","6,11","1,35","3,57","2,53","2,86","2,00"
toxic,neg hi ar,5,2,3,"2,14","6,61","3,56","2,25","4,49","2,48","1,60","1,45","1,76","1,80","2,78","1,20","3,07","2,22","3,49","2,64"
foul,neg lo ar,4,1,4,"2,73","4,76","3,58","2,47","4,79","2,12","1,81","1,58","1,72","1,40","3,33","1,13","2,30","1,67","2,47","1,98"
pollute,neg hi ar,7,2,1,"1,77","6,04","4,98","2,66","6,05","2,58","1,93","1,99","1,70","1,47","2,86","1,36","3,07","2,27","5,02","2,64"
illness,neg lo ar,7,2,20,"2,27","4,82","4,91","2,56","6,27","2,25","1,33","0,98","1,69","1,43","2,98","1,34","2,44","1,89","3,80","2,58"
unhappy,neg lo ar,7,3,26,"1,35","4,26","5,18","2,29","6,02","2,14","1,40","1,29","1,69","1,52","3,02","1,20","2,39","1,87","3,78","2,84"
stress,neg hi ar,6,1,107,"2,00","7,47","7,47","1,67","7,78","1,65","1,24","0,74","1,69","1,35","2,82","1,25","3,04","2,13","2,73","2,12"
